periodStartDate;periodEndDate;periodDuration;in minutes;minCupolaTemp;maxCupolaTemp;avgCupolaTemp;cupolaTempChangeRate;minSmokeTemp;maxSmokeTemp;smokeTempChangeRate;minGasFlowRate;maxGasFlowRate;avgGasFlowRate;sumGasFlowRate
04.09.2010 16:53;04.09.2010 20:39;3:46:15;226;1160,4;1294,2;1244,75;35,48;90,6;400;82,05;0;39178,41;34036,34;125518,76
05.09.2010 10:59;05.09.2010 14:37;3:38:13;218;1191;1295,1;1258,41;28,62;93,4;387,6;80,89;0;40993,52;33551,28;122203,02
07.09.2010 8:43;07.09.2010 12:24;3:40:32;220;1152,2;1270,5;1230,63;32,19;78,1;354,1;75,09;0;35410,78;30902,91;113756,09
07.09.2010 8:43;07.09.2010 12:24;3:40:32;220;1152,2;1270,5;1230,63;32,19;78,1;354,1;75,09;0;35410,78;30902,91;113756,09
08.09.2010 3:07;08.09.2010 7:02;3:54:49;234;1178;1235,3;1221,77;13,38;83,7;400;73,88;0;45174,43;35973,57;137269,64
08.09.2010 3:07;08.09.2010 7:02;3:54:49;234;1178;1235,3;1221,77;13,38;83,7;400;73,88;0;45174,43;35973,57;137269,64
08.09.2010 15:24;08.09.2010 19:18;3:54:01;234;1138,6;1279,8;1233,5;36,2;84,8;397,7;80,23;0;39631,33;33834,49;119440,77
08.09.2010 15:24;08.09.2010 19:18;3:54:01;234;1138,6;1279,8;1233,5;36,2;84,8;397,7;80,23;0;39631,33;33834,49;119440,77
12.09.2010 20:36;13.09.2010 0:13;3:37:02;217;1181,7;1280,7;1259,12;27,37;80,2;400;88,41;30;41610,59;31275,67;113116,77
14.09.2010 8:15;14.09.2010 11:55;3:40:26;220;1200;1288,3;1249,74;24,03;85,8;402,6;86,23;30;40058,34;29197,44;106767,99
14.09.2010 21:18;15.09.2010 1:04;3:45:54;225;1163,9;1264,1;1241,56;26,61;89,4;400,2;82,55;0;36660,51;32880,41;123739,27
16.09.2010 8:33;16.09.2010 11:48;3:14:26;194;1211,9;1282,1;1254,37;21,66;86,6;400,8;96,96;0;39871,54;33000,13;107003,4
16.09.2010 14:17;16.09.2010 17:42;3:24:45;204;1209,8;1271,4;1239,03;18,05;92,1;400,1;90,26;0;40950,51;33752,57;114828,25
16.09.2010 20:10;16.09.2010 23:44;3:34:06;214;1204,8;1263,6;1246,12;16,48;96,8;410,5;87,91;0;39605,04;33680,32;120267,34
