periodStartDate;periodEndDate;periodDuration;in minutes;minCupolaTemp;maxCupolaTemp;avgCupolaTemp;cupolaTempChangeRate;minSmokeTemp;maxSmokeTemp;smokeTempChangeRate;minGasFlowRate;maxGasFlowRate;avgGasFlowRate;sumGasFlowRate
04.09.2010 16:53;04.09.2010 20:39;3:46:15;226,00;1160,40;1294,20;1244,75;35,48;90,60;400,00;82,05;0,00;39178,41;34036,34;125518,76
05.09.2010 10:59;05.09.2010 14:37;3:38:13;218,00;1191,00;1295,10;1258,41;28,62;93,40;387,60;80,89;0,00;40993,52;33551,28;122203,02
07.09.2010 8:43;07.09.2010 12:24;3:40:32;220,00;1152,20;1270,50;1230,63;32,19;78,10;354,10;75,09;0,00;35410,78;30902,91;113756,09
07.09.2010 8:43;07.09.2010 12:24;3:40:32;220,00;1152,20;1270,50;1230,63;32,19;78,10;354,10;75,09;0,00;35410,78;30902,91;113756,09
08.09.2010 3:07;08.09.2010 7:02;3:54:49;234,00;1178,00;1235,30;1221,77;13,38;83,70;400,00;73,88;0,00;45174,43;35973,57;137269,64
08.09.2010 3:07;08.09.2010 7:02;3:54:49;234,00;1178,00;1235,30;1221,77;13,38;83,70;400,00;73,88;0,00;45174,43;35973,57;137269,64
08.09.2010 15:24;08.09.2010 19:18;3:54:01;234,00;1138,60;1279,80;1233,50;36,20;84,80;397,70;80,23;0,00;39631,33;33834,49;119440,77
08.09.2010 15:24;08.09.2010 19:18;3:54:01;234,00;1138,60;1279,80;1233,50;36,20;84,80;397,70;80,23;0,00;39631,33;33834,49;119440,77
12.09.2010 20:36;13.09.2010 0:13;3:37:02;217,00;1181,70;1280,70;1259,12;27,37;80,20;400,00;88,41;30,00;41610,59;31275,67;113116,77
14.09.2010 8:15;14.09.2010 11:55;3:40:26;220,00;1200,00;1288,30;1249,74;24,03;85,80;402,60;86,23;30,00;40058,34;29197,44;106767,99
14.09.2010 21:18;15.09.2010 1:04;3:45:54;225,00;1163,90;1264,10;1241,56;26,61;89,40;400,20;82,55;0,00;36660,51;32880,41;123739,27
16.09.2010 8:33;16.09.2010 11:48;3:14:26;194,00;1211,90;1282,10;1254,37;21,66;86,60;400,80;96,96;0,00;39871,54;33000,13;107003,40
16.09.2010 14:17;16.09.2010 17:42;3:24:45;204,00;1209,80;1271,40;1239,03;18,05;92,10;400,10;90,26;0,00;40950,51;33752,57;114828,25
16.09.2010 20:10;16.09.2010 23:44;3:34:06;214,00;1204,80;1263,60;1246,12;16,48;96,80;410,50;87,91;0,00;39605,04;33680,32;120267,34
16.09.2010 20:10;16.09.2010 23:44;3:34:06;214,00;1204,80;1263,60;1246,12;16,48;96,80;410,50;87,91;0,00;39605,04;33680,32;120267,34
17.09.2010 3:01;17.09.2010 6:36;3:35:32;215,00;1191,70;1297,90;1279,01;29,56;85,50;392,80;85,55;12107,73;42327,27;34032,45;122379,50
17.09.2010 9:39;17.09.2010 13:12;3:33:33;213,00;1147,20;1238,50;1204,97;25,65;87,70;325,40;66,79;18908,59;35690,61;30285,67;107871,95
17.09.2010 15:51;17.09.2010 19:47;3:55:31;235,00;1172,60;1261,60;1243,01;22,67;86,80;400,00;79,79;0,00;37908,66;34437,94;133898,08
17.09.2010 22:27;18.09.2010 2:09;3:42:52;222,00;1181,30;1294,80;1274,26;30,56;89,60;347,30;69,38;14160,54;38347,60;34201,76;127146,11
18.09.2010 10:57;18.09.2010 14:29;3:31:39;211,00;1214,70;1313,40;1294,97;27,98;89,80;400,00;87,94;0,00;36440,12;33029,70;116451,54
18.09.2010 16:54;18.09.2010 20:33;3:39:29;219,00;1235,30;1297,70;1281,88;17,06;91,00;400,10;84,50;0,00;43623,63;34992,16;128201,39
19.09.2010 0:11;19.09.2010 3:03;2:51:20;171,00;1235,30;1299,00;1278,75;22,31;81,90;393,60;109,16;8955,91;39081,02;34863,54;99582,89
19.09.2010 10:49;19.09.2010 14:26;3:36:53;216,00;1225,60;1290,40;1267,11;17,93;91,60;389,00;82,27;0,00;37603,56;33165,45;119888,00
19.09.2010 16:46;19.09.2010 20:11;3:25:07;205,00;1200,00;1290,40;1266,56;26,44;87,90;407,50;93,49;0,00;37696,25;32826,55;111837,95
19.09.2010 23:15;20.09.2010 3:08;3:53:31;233,00;1214,90;1314,70;1295,96;25,64;88,70;400,50;80,11;0,00;35196,13;31830,42;123665,02
20.09.2010 20:15;21.09.2010 0:10;3:54:53;234,00;1200,20;1305,80;1276,06;26,98;94,20;360,80;68,10;0,00;36199,44;30993,00;121318,22
21.09.2010 2:22;21.09.2010 5:50;3:27:24;207,00;1228,50;1296,40;1274,33;19,64;93,60;371,70;80,45;0,00;36061,53;31702,92;109429,37
21.09.2010 8:37;21.09.2010 12:29;3:52:07;232,00;1182,90;1286,50;1258,83;26,78;91,30;395,50;78,63;12262,33;40742,46;32924,39;127516,84
21.09.2010 14:41;21.09.2010 18:11;3:29:40;209,00;1226,30;1286,00;1273,02;17,08;96,70;400,20;86,85;0,00;36836,49;32262,95;112782,19
21.09.2010 21:07;22.09.2010 0:43;3:35:30;215,00;1225,60;1310,60;1277,58;23,67;92,90;356,00;73,25;0,00;35928,17;29946,03;107560,77
22.09.2010 3:36;22.09.2010 8:05;4:29:47;269,00;1200,00;1324,30;1298,01;27,64;82,60;400,30;70,66;0,00;38423,13;32396,11;145181,36
23.09.2010 19:10;23.09.2010 23:15;4:04:31;244,00;1243,00;1316,30;1291,69;17,99;85,60;400,40;77,25;0,00;43855,63;35046,13;118584,32
24.09.2010 8:15;24.09.2010 12:00;3:45:25;225,00;1243,70;1289,30;1267,67;12,14;82,70;400,90;84,70;0,00;42197,04;33978,45;127661,54
24.09.2010 14:50;24.09.2010 19:18;4:27:52;267,00;1226,00;1333,20;1308,60;24,01;93,30;400,70;68,86;0,00;37905,22;32928,30;123635,60
24.09.2010 21:10;25.09.2010 0:52;3:41:46;221,00;1244,60;1313,20;1297,22;18,56;94,90;400,40;82,65;0,00;39260,75;34818,96;128459,23
25.09.2010 3:38;25.09.2010 7:29;3:50:51;230,00;1200,00;1328,70;1294,58;33,45;85,50;400,50;81,87;0,00;40521,55;32742,60;125984,46
25.09.2010 10:12;25.09.2010 13:55;3:42:48;222,00;1232,40;1321,50;1299,96;23,99;85,90;387,00;81,09;0,00;36541,69;32221,68;119830,36
25.09.2010 16:38;25.09.2010 20:28;3:49:19;229,00;1234,20;1316,50;1270,62;21,53;87,00;361,30;71,77;0,00;40628,53;28842,57;110603,71
25.09.2010 22:42;26.09.2010 2:33;3:51:10;231,00;1206,60;1338,80;1285,47;34,31;87,50;378,00;75,40;0,00;38355,74;28947,88;111540,70
26.09.2010 4:52;26.09.2010 8:31;3:38:33;218,00;1202,00;1304,30;1282,83;28,09;84,80;400,00;86,53;0,00;38532,54;32335,21;117964,09
26.09.2010 10:55;26.09.2010 14:56;4:01:00;241,00;1234,60;1287,30;1269,58;13,12;82,70;379,90;73,99;19102,70;34485,55;30757,41;123575,63
26.09.2010 17:29;26.09.2010 21:09;3:40:03;220,00;1223,10;1313,70;1299,10;24,70;88,40;384,40;80,71;13281,80;39312,01;33129,72;121610,25
26.09.2010 23:19;27.09.2010 2:45;3:25:49;205,00;1229,00;1326,90;1298,18;28,54;90,80;400,50;90,28;0,00;36664,77;31540,85;107774,22
27.09.2010 5:03;27.09.2010 8:17;3:14:07;194,00;1254,70;1326,30;1305,86;22,13;95,50;410,70;97,43;0,00;41217,58;32713,81;105845,78
27.09.2010 10:54;27.09.2010 14:12;3:17:49;197,00;1200,00;1322,20;1305,54;37,06;84,00;400,00;95,85;0,00;38159,25;31565,87;99442,84
28.09.2010 0:03;28.09.2010 3:22;3:18:42;196,00;1183,10;1279,80;1255,17;29,20;84,20;337,30;76,43;0,00;39277,99;33041,38;109447,07
28.09.2010 6:15;28.09.2010 9:52;3:36:53;216,00;1199,30;1311,30;1292,66;30,98;87,90;400,00;86,34;0,00;39440,97;31389,29;112857,91
29.09.2010 2:30;29.09.2010 6:33;4:02:29;242,00;1181,00;1320,00;1268,09;34,39;82,20;311,80;56,81;0,00;38937,27;32613,50;131985,20
29.09.2010 16:31;29.09.2010 20:53;4:21:56;261,00;1189,40;1305,60;1258,49;26,62;81,20;322,70;55,32;0,00;38490,62;31663,99;138391,80
29.09.2010 23:56;30.09.2010 4:08;4:12:11;252,00;1191,20;1299,20;1276,64;25,70;85,40;335,80;59,58;0,00;36473,21;33243,25;139900,91
30.09.2010 6:26;30.09.2010 10:38;4:12:29;252,00;1218,10;1284,50;1260,40;15,78;85,10;400,40;74,93;0,00;41445,87;33057,38;139168,48
30.09.2010 20:40;01.10.2010 0:25;3:45:08;225,00;1205,00;1307,80;1287,89;27,40;74,20;378,30;81,05;0,00;39742,23;32235,67;121001,20
01.10.2010 3:02;01.10.2010 7:07;4:05:05;245,00;1200,00;1296,60;1275,03;23,65;71,30;400,00;80,47;30,00;41389,29;33229,45;135196,27
01.10.2010 9:36;01.10.2010 13:18;3:41:47;221,00;1227,40;1332,80;1290,67;28,51;73,60;361,50;77,89;25421,79;36052,14;31097,63;114931,08
02.10.2010 13:20;02.10.2010 16:48;3:27:31;207,00;1202,00;1299,20;1283,28;28,10;83,50;361,70;80,44;0,00;36987,47;32151,29;111136,59
02.10.2010 13:20;02.10.2010 16:48;3:27:31;207,00;1202,00;1299,20;1283,28;28,10;83,50;361,70;80,44;0,00;36987,47;32151,29;111136,59
03.10.2010 0:19;03.10.2010 3:51;3:32:11;212,00;1190,30;1305,20;1277,83;32,49;82,20;365,60;80,14;0,00;39107,22;31392,84;110944,83
03.10.2010 6:06;03.10.2010 10:05;3:59:00;239,00;1206,20;1312,10;1287,64;26,59;78,70;400,30;80,74;0,00;40867,76;31857,70;126902,71
